.50 Action Express,1988,US,2,H,12.7x32.6mm,1475,1449,1.965,32.5,0.500,0.120,32.6mm,For IMI Desert Eagle handgun.
.50 Alaskan,1950s,US,,R,13x53mmR,1694,3346,3.95,,0.510,,53mm,
.50 Beowulf,2001,US,,R,12.7x42mm,1800,2878,3.198,,0.500,,42mm,
.50 BMG,1921,US,2,R,12.7x99mm,2815,13196,9.375,265,0.510,1.050,99mm,Used in Heavy Machine Guns and anti-materiel rifles.
.50 GI,2004,US,,H,12.7x22.8mm,1200,591,0.985,,0.500,,22.8mm,Designed to have significantly less recoil than other 50 caliber handguns
.50 Remington Navy,1867,US,0,H,13x21.8mm,750,330,0.88,7.0,0.508,,21.8mm,"a.k.a. 50 Remington Pistol Navy Model 1867 and 50 Remington (M71 Army). Rimmed case 0.875"" in length. Obsolete black powder/smokeless handgun cartridge."
.50-90 Sharps,1872,US,,R,13x64mmR,1652,2210,2.676,37.0,0.509,,64mm,The mainstay of the American bison (buffalo) hunter. Black powder/smokeless.
.204 Ruger,2004,US,6,R,5.2x47mm,4456,1351,0.614,31.5,0.204,0.275,47mm,Varmint round.
.218 Bee,1938,US,1,R,5.7x34.2mmR,3545,822,0.464,14.9,0.224,,34.2mm,Rimmed.
.220 Swift,1935,US,5,R,5.7x56mm,4423,1727,0.897,46.0,0.224,0.264,56.0mm,
.221 Remington Fireball,1963,US,1,H,5.7x35.6mm,3791,780,0.412,22.0,0.224,0.415,35.6mm,Handgun round adapted from 222 Remington.
.222 Remington,1950,US,8,R,5.7x43.2mm,3760,1099,0.585,26.2,0.224,0.242,43.2mm,
.223 Remington,1955,US,8,R,5.56x45mm,4000,1243,0.622,29.5,0.224,0.395,45mm,Similar but not interchangeable with 5.56NATO.[citation needed]
.223 WSSM,2003,US,1,R,5.7x42.4mm,4568,1918,0.849,50.5,0.224,0.415,42.4mm,Winchester Super Short Magnum
.224 Boz,1997,UK,,H,5.56x23mm,2500,694,,,0.223,,23mm,10mm Auto case necked down to 5.56mm.
.224 Weatherby Magnum,1963,US,,R,5.70x48.84mm,3865,1704,0.882,36.5,0.224,0.415,48.84mm,Smallest belted magnum case available commercially.
.225 Winchester,1964,US,1,R,5.7x49mmSR,3650,1621,0.888,37.0,0.224,0.415,49.00mm,Semi-rimmed.
.240 Apex,1920,UK,0,R,6.2x63mm,2900,1865,,,0.245,,63mm,aka .240 H&H Magnum Rimless, .240 Magnum Flanged or .240 Super Express
.240 Weatherby Magnum,1968,US,,R,6.18x63.50mm,3817,2633,1.38,59.0,0.243,,63.50mm,Belted.
.242 Rimless Nitro Express,1923,UK,0,R,6x60mm,2800,1740,,,0.249-0.253,,60mm,aka .242 Manton.
.243 Winchester,1955,US,8,R,6.2x51.9mm,3925,2140,1.09,51.0,0.243,0.405,51.9mm,.308 Winchester case necked down to 6mm.
.243 WSSM,2003,US,1,R,6.2x42.4mm,4068,2323,1.142,54.0,0.243,0.525,42.4mm,Winchester Super Short Magnum
.244 H&H Magnum,1955,UK,0,R,6.2x71mm,3500,2720,,,0.245,,71mm,
.244 Halger Magnum,1920,Germany,0,R,6.5x57mm,3270,2142,,,.243,,,from Halger Arms Co. of Hamburg
.250-3000 Savage,1915,US,1,R,6.6x48.6mm,3341,2138,1.28,40.5,0.257,0.418,48.6mm,
.256 Winchester Magnum,1962,US,0,H,6.5x32.5mmR,2386,705,0.591,18.0,0.257,,32.5mm,".357 Magnum case necked down to .257"". a.k.a. 256 Winchester. Obsolete handgun and lever action round."
.257 Roberts,1934,US,4,R,6.55x56.72mm,2946,2255,1.531,54.0,0.257,0.391,56.72mm,
.257 Weatherby Magnum,1944,US,1,R,6.54x64.74mm,3550,2708,1.526,80.0,0.257,0.390,64.74mm,Belted.
.260 Remington,1998,US,2,R,6.72x51.69mm,3313,2043,1.233,51.0,0.264,0.719,51.69mm,
.264 Winchester Magnum,1958,US,3,R,6.73x63.50mm,3863,3020,1.564,78.0,0.264,0.561.,63.50mm,Belted.
.270 Weatherby Magnum,1943,US,1,R,7.04x64.74mm,3647,3639,1.996,81.0,0.277,0.625,64.74mm,Belted. First of Weatherby's line of necked-down 300 H&H-based magnums.
.270 Winchester,1925,US,8,R,7.06x64.52mm,3200,2968,1.855,64.0,0.277,0.495,64.52mm,Necked-down .30-06 Springfield.
.270 WSM,2002,US,5,R,7.06x53.34mm,3789,3485,1.84,73.0,0.277,0.625.,53.34mm,Winchester Short Magnum
.275 H&H Magnum,1912,UK,0,R,7.3x64mm,2700,2600,,,0.287,,64mm,"aka .275 Belted Magnum. Also comes in rimmed version called ""Flanged"". Necked down .375 H&H Magnum"
.280 Ackley Improved,2007,US,,R,7.23x64.14mm ,3271,3084,1.886,66.0,0.284,,64.14mm,Former wildcat now registered by Nosler with SAAMI.
.280 British,1946 ,UK,,R,7.2x43mm,2549,2019,,28.5,0.283,,43mm,a.k.a. 7mm FN Short. Intermediate round adopted in 1951.
.280 Jeffery,1913,UK,0,R,7.3x64mm,3000,2800,,,0.288,,64mm,Necked down .333 Jeffery
.280 Remington,1957,US,6,R,7.2x64.5mm,3433,2899,1.689,64.0,0.284,0.486,64.5mm,.30-06 Springfield case necked down to 7mm.
.280 Ross,1906,Canada,0,R,7.3x66mm,2900,2620,,,0.287,,66mm,.280 Nitro, .280 Rimless Nitro Express Ross (CIP) and .280 Rimless. Once manufactured by Remington and Winchester.
.300 AAC Blackout,2011,US,2,R,7.62x35mm,2388,1487,2.05,20.0,0.308,,35mm,Developed for suppressed CQB as a sub sonic round. Supersonic is also available.
.300 H&H Magnum,1925,UK,2,R,7.82x72.39mm,3394,3485,2.054,81.0,0.308,0.730,72.39mm,Belted. a.k.a. 300 H&H Super a.k.a. Holland's Super 30.
.300 Norma Magnum,2012,US,1,R,7.62x63.3mm,3003,4404,,,0.308,,63.3mm,Necked-down .338 Norma Mag. Selected by US Special Forces in 2016.
.300 Remington Short Action Ultra Magnum,2002,US,1,R,7.85x51.18mm,3663,3761,2.054,69.0,0.308,0.730,51.18mm,Beltless, rebated rim. Remington Short Action Ultra Magnum.
.300 Remington Ultra Magnum,1998,US,2,R,7.85x72.39mm,3638,4414,2.427,107.0,0.308,0.730.,72.39mm,Beltless," rebated rim. Fastest cartridge for Nosler's 210-grain AccuBond Long-Range G1=0.730 0.308"" bullet."
.300 Ruger Compact Magnum,2007,US,1,R,7.62x53mm,3310,3716,2.245,67.5,0.308,0.480,53mm,Based on .375 Ruger case.
.300 Savage,1920,US,4,R,7.8x47.5mm,2740,2500,1.825,45.2,0.308,0.370,47.5mm,
.300 Weatherby Magnum,1944,US,3,R,7.8x71.8mm,3375,3890,2.305,90.0,0.308,0.447,71.8mm,
.300 Whisper,2009,US,1,R,7.84x34.90mm,1020,480,0.941,12.0,0.308,0.648,34.90mm,Designed for quiet, accurate, subsonic applications. Year is for homologation by CIP - earlier proprietary and wildcat versions existed.
.300 Winchester Magnum,1963,US,8,R,7.8x67mm,3709,3893,2.29,88.0,0.308,0.730,67mm,
.300 WSM,2001,US,5,R,7.8x53.5mm,3697,3872,2.095,74.5,0.308,0.730,53.5mm,Winchester Short Magnum
.303 British,1889,UK,7,R,7.7x56mmR,2685,2401,1.788,54,0.311,0.361,56mm,Former British Service rifle Lee-Enfield.
.307 Winchester,1982,US,1,R,7.8x51mmR,3000,2083,1.389,53.0,0.308,,51mm,Rimmed version of the .308 Winchester, for use in lever-action rifles.
.308 Marlin Express,2006,US,1,R,7.62x48mm,2800,2514,1.796,47.7,0.308,0.395,48mm,Based upon a slightly shortened .308 Winchester cases with FTX bullets and special powder to approach .308 ballistics from a Marlin lever-action rifle.
